,E,I,J,L,input,nthreads,low,high,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
701,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1609.216320,1590.265442,984.502621,959.300160,228.113435,293.126858,42.282344
702,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1664.382161,1613.357162,1074.524229,1037.011214,269.873441,220.703614,39.227021
703,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1787.182967,1731.238953,1182.767015,1119.854724,229.508896,293.236193,40.782153
704,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1797.672880,1730.958986,1206.371802,1153.659455,284.825499,231.038679,39.104739
705,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1706.537154,1649.772125,1068.564148,1027.543532,295.551697,238.940766,42.341662
706,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1903.850239,1829.520447,1281.102968,1221.784514,293.646757,235.924151,41.244679
707,1,1,1,1,25,24,1800000,2300000,0 10234101760,1861.704654,1784.055880,1292.586194,1228.724611,271.834575,223.294907,37.579545
708,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1730.577010,1674.935183,1145.828264,1103.741990,271.021624,220.636304,38.772763
709,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1747.915084,1704.220248,1148.945782,1098.751222,224.843278,291.133346,40.406408
710,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1719.455323,1659.305922,1129.449047,1083.453413,273.379167,221.556305,39.100983
711,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1804.460722,1742.212388,1232.738915,1184.074476,273.065761,226.946827,37.742718
712,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1628.194293,1570.804430,1090.184876,1045.652922,250.341888,207.429857,35.616333
713,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1671.432504,1620.923719,1059.368529,1022.664964,277.503313,230.396305,40.675444
714,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1839.008316,1779.385848,1233.445079,1188.485108,287.266344,233.340134,40.058125
715,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1666.532256,1636.908568,1063.911301,1026.553071,225.823548,296.426481,40.688255
716,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1641.731048,1581.355560,1068.233334,1021.111432,269.460355,223.284820,38.012574
717,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1794.758363,1745.094316,1181.916442,1146.118880,293.984741,243.256375,40.535549
718,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1811.731443,1737.583284,1189.188277,1129.430467,291.544727,241.297231,41.241190
719,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1632.771481,1586.079956,1000.594287,967.597609,290.040602,241.091215,42.056864
720,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1663.101273,1615.504044,1070.431001,1036.000045,275.101882,227.314116,39.369733
721,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1843.401578,1780.401688,1246.493512,1176.808530,228.433132,294.392807,40.210318
722,-1,-1,-1,-1,25,24,1800000,2300000,10234101760 0,1695.808854,1651.400314,1030.495228,1001.393768,308.774586,249.519640,44.256759
723,1,-1,1,-1,25,24,1800000,2300000,9126805504 1107296256,1737.275571,1676.234863,1138.923902,1091.447606,278.529495,226.753739,39.744704
724,1,-1,-1,1,25,24,1800000,2300000,1610612736 8623489024,1707.645921,1674.009218,1114.469028,1074.293382,225.209884,288.091844,40.050221
725,1,1,1,1,25,24,1800000,2300000,0 10234101760,1838.250368,1768.354297,1281.522568,1205.287214,212.075605,275.973941,37.487851
726,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1878.529323,1810.001203,1279.573120,1204.538059,227.967342,292.575031,40.301792
727,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1751.968323,1699.291545,1158.227740,1118.464141,275.651058,229.782804,39.385367
728,-1,-1,-1,1,25,24,1800000,2300000,1644167168 8589934592,1640.115707,1592.530533,1038.404373,1004.227141,277.475899,226.489774,39.986681
729,1,1,-1,1,25,24,1800000,2300000,1073741824 9160359936,1898.249620,1823.460267,1260.717620,1200.888516,299.493743,246.708009,42.214777
730,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1651.300751,1590.672001,1039.658573,992.718764,278.757306,230.464156,40.671578
731,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1717.247270,1659.924667,1149.744309,1085.054033,215.909563,279.780106,38.281399
732,-1,1,1,1,25,24,1800000,2300000,33554432 10200547328,1874.139497,1811.809829,1291.885604,1221.897215,226.854370,293.787458,39.140966
733,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1681.806659,1630.129669,1083.648578,1045.865053,281.165070,228.202090,39.619260
734,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1791.505312,1752.443098,1182.874741,1135.617630,230.688003,302.507385,41.039121
735,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1693.436523,1650.542786,1107.832183,1058.296063,224.509185,287.742567,39.455907
736,-1,1,-1,-1,25,24,1800000,2300000,9697230848 536870912,1570.888992,1524.743839,999.478482,966.706788,267.266539,219.925367,37.890166
737,1,1,1,-1,25,24,1800000,2300000,8589934592 1644167168,1813.564682,1750.409314,1232.122485,1162.238523,221.268706,285.560409,39.139405
738,-1,1,-1,1,25,24,1800000,2300000,1107296256 9126805504,1759.269343,1702.703780,1155.422900,1113.116455,287.301543,237.446340,39.972475
739,-1,-1,1,1,25,24,1800000,2300000,570425344 9663676416,1784.647625,1724.070714,1176.771288,1129.548399,278.117005,231.612518,40.353334
740,1,1,-1,-1,25,24,1800000,2300000,9663676416 570425344,1618.345701,1578.512128,1058.763750,1032.427491,265.396636,216.311157,37.018958
741,1,-1,-1,-1,25,24,1800000,2300000,10200547328 33554432,1706.218340,1683.151854,1075.480728,1045.118825,235.007325,305.687558,42.602306
742,1,-1,1,1,25,24,1800000,2300000,536870912 9697230848,1813.211502,1753.704011,1224.834274,1179.325667,275.369771,223.853515,38.981328
743,-1,-1,1,-1,25,24,1800000,2300000,9160359936 1073741824,1742.348971,1694.955200,1112.845352,1080.021805,295.267237,235.657091,41.795981
744,-1,1,1,-1,25,24,1800000,2300000,8623489024 1610612736,1750.846223,1692.313199,1169.270095,1103.224847,220.627424,285.053788,39.250260
