,L,N,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
15,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1072.560059,1033.577774,747.219498,715.628204,90.181992,61.904221,22.453085
16,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,989.366348,956.885010,668.423172,643.443695,88.133057,61.922409,22.155329
17,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,903.431183,885.564743,506.955597,493.715088,94.871384,84.202972,27.564377
18,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1089.268051,1058.464890,726.646774,703.127533,94.898804,70.174469,25.087368
19,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,924.296249,884.810745,546.090149,511.703186,92.905579,78.071472,26.254642
20,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1107.478775,1058.128738,765.662979,722.755829,89.185059,69.246475,23.660658
21,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,995.227905,974.759872,554.560699,539.978180,105.717422,87.893173,30.634506
22,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1010.365707,956.423813,708.363403,660.112564,80.968445,65.215500,20.880407
23,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1051.072327,1031.671127,708.981979,696.060165,91.149673,68.320847,23.667591
24,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,955.476730,913.160629,559.319778,524.070053,97.780273,78.348526,27.473932
25,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1052.167755,1033.281189,709.944351,697.847885,91.148621,66.313431,23.665848
26,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1050.550232,1008.185303,607.776337,572.993408,105.778763,85.040436,30.738913
27,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,992.169998,971.906433,551.837326,538.280075,105.852325,84.626419,30.584444
28,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1096.809097,1045.809357,759.382767,713.910294,87.007553,71.714371,23.377232
29,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,973.450882,929.705902,688.527802,650.346497,78.967987,61.412628,19.657316
30,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1014.605057,994.020477,560.544342,547.488144,108.891174,88.029037,31.534300
31,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1045.088608,1026.676010,704.917236,692.628311,88.555588,69.455399,23.547245
32,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1048.724762,1004.530624,608.737793,569.608505,101.927353,93.233780,30.621532
33,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1047.407043,1028.643478,706.259888,693.662018,88.768906,69.803040,23.615292
34,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1016.477631,962.749268,711.875885,663.415939,80.353210,65.124115,21.053585
35,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,926.589737,888.206131,547.734070,515.095322,93.497223,77.800018,26.300913
36,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,1014.295380,991.314148,559.379410,544.024414,109.577789,86.917236,31.589901
37,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1065.180328,1026.278625,742.485107,708.759003,83.520187,68.836349,22.341290
38,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1081.573669,1055.823761,723.184357,703.175278,91.715317,73.186783,24.839735
39,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,993.903046,973.134094,552.409561,539.535385,107.132828,83.964294,30.638885
40,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1056.677063,1008.716171,613.879486,572.797562,107.630386,84.656174,30.751272
41,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1017.453278,979.146561,595.175964,562.861633,102.108887,81.941696,29.343977
42,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,937.984589,914.669632,522.804474,506.475143,103.441208,78.556244,28.828127
43,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,970.689621,927.964905,684.798859,647.435471,78.263123,60.594070,19.737141
44,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,994.661896,963.063995,671.079132,647.062302,90.167953,61.322281,22.330912
45,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,924.581024,887.157806,546.180817,514.435608,94.360367,78.003677,26.245150
46,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1065.823975,1027.745331,744.105469,712.333359,88.110168,64.179062,22.239141
47,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,991.192535,972.142059,551.514343,539.270798,106.593735,84.906845,30.533636
48,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1252.665283,1210.059158,807.458420,772.822800,111.942978,86.026352,30.891102
49,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1149.730560,1098.217194,790.597031,744.960983,94.444366,73.609695,24.886955
50,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1056.568649,1011.891388,612.574692,576.159241,110.618790,84.469330,30.800463
51,-1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,458721 0,996.553513,973.013901,555.145767,537.576508,107.468536,87.148453,30.693169
52,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,987.893234,955.890747,666.378983,641.249802,88.414398,65.690201,22.211870
53,1,-1,2300000,-x 50 -y 50 -z 50,1500000,24,8192 2048,1045.283203,1025.236496,705.433136,691.437241,89.283142,69.119629,23.529453
54,1,1,2300000,-x 50 -y 50 -z 50,1500000,24,0 458721,1117.972748,1067.001633,776.469803,733.271072,95.050293,63.701630,23.583702
55,-1,1,2300000,-x 50 -y 50 -z 50,1500000,24,2048 8192,1023.774414,982.638428,598.393082,565.080658,105.806961,81.032318,29.501562
