,E,I,J,L,Q,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
32,1,1,-1,-1,1,2300000,25,1800000,24,9663676416 4398616936448,1648.575562,1640.579102,1065.962268,1069.765475,271.081114,231.656421,38.607621
33,1,-1,-1,1,1,2300000,25,1800000,24,1610612736 4406670000128,1676.837801,1634.486419,1084.605760,1061.595229,284.868441,201.787658,39.110141
34,1,1,1,-1,1,2300000,25,1800000,24,8589934592 4399690678272,1707.932484,1677.048735,1149.514218,1138.215146,279.239672,196.875642,36.686720
35,-1,1,1,-1,-1,2300000,25,1800000,24,4406670000128 1610612736,1711.328994,1710.009137,1119.628920,1131.893266,271.376863,225.480200,39.209351
36,-1,1,-1,-1,-1,2300000,25,1800000,24,4407743741952 536870912,1625.638072,1580.665939,1024.808593,998.568679,289.664673,209.299655,39.694218
37,-1,-1,1,-1,1,2300000,25,1800000,24,9160359936 4399120252928,1694.653211,1671.482276,1083.070587,1079.231721,296.710434,214.154006,40.382012
38,-1,-1,1,1,-1,2300000,25,1800000,24,4398616936448 9663676416,1734.944273,1710.800127,1135.899460,1131.086819,290.906726,205.844068,39.561718
39,1,1,-1,-1,1,2300000,25,1800000,24,9663676416 4398616936448,1691.794524,1666.491698,1084.009263,1078.173656,295.881532,208.811066,40.138812
40,1,1,1,-1,-1,2300000,25,1800000,24,4406636445696 1644167168,1804.485916,1764.402296,1212.215808,1193.495654,302.817748,206.580659,38.880823
41,1,-1,1,1,-1,2300000,25,1800000,24,4398583382016 9697230848,1778.189606,1764.266954,1190.082884,1187.251452,267.233537,231.268630,39.000142
42,-1,1,1,1,-1,2300000,25,1800000,24,4398080065536 10200547328,1793.194550,1773.800185,1206.059328,1205.839219,289.360503,207.961761,38.638544
43,-1,-1,-1,1,-1,2300000,25,1800000,24,4399690678272 8589934592,1745.952029,1712.892748,1103.033950,1089.605452,310.952498,225.289352,42.444069
44,-1,-1,1,1,1,2300000,25,1800000,24,570425344 4407710187520,1753.798445,1718.775440,1154.351670,1138.427704,291.128377,206.333146,39.554969
45,-1,-1,1,-1,-1,2300000,25,1800000,24,4407206871040 1073741824,1679.701434,1681.842024,1071.279739,1084.472677,278.749237,239.317963,40.395403
46,1,-1,-1,-1,-1,2300000,25,1800000,24,4408247058432 33554432,1667.193898,1630.380509,1033.998216,1016.326082,300.238811,216.816040,41.940887
47,1,-1,1,-1,-1,2300000,25,1800000,24,4407173316608 1107296256,1698.911515,1670.274460,1106.564165,1096.993167,288.469101,202.127607,39.127191
48,1,1,1,1,-1,2300000,25,1800000,24,4398046511104 10234101760,1837.223951,1792.473875,1274.325164,1249.210604,286.293412,203.318299,36.919809
49,-1,1,-1,1,1,2300000,25,1800000,24,1107296256 4407173316608,1737.548171,1692.180770,1134.314253,1109.547899,299.814560,208.298036,39.707959
50,1,-1,1,-1,1,2300000,25,1800000,24,9126805504 4399153807360,1766.773162,1726.985260,1151.078290,1131.557101,297.950192,211.331636,40.607971
51,-1,1,1,1,1,2300000,25,1800000,24,33554432 4408247058432,1784.696869,1766.926129,1201.931138,1196.474030,268.059706,223.608247,38.636820
52,1,1,-1,-1,-1,2300000,25,1800000,24,4407710187520 570425344,1673.528764,1636.222610,1080.313978,1063.206589,292.655195,202.729640,39.102042
53,1,-1,-1,1,-1,2300000,25,1800000,24,4399657123840 8623489024,1752.008389,1709.556031,1130.705346,1107.860125,300.496893,215.667054,41.017068
54,-1,1,-1,-1,1,2300000,25,1800000,24,9697230848 4398583382016,1600.218824,1569.419767,1008.031020,996.187470,291.079588,204.098798,39.123260
55,-1,-1,-1,1,1,2300000,25,1800000,24,1644167168 4406636445696,1678.664081,1647.794389,1055.111892,1044.220645,298.607222,210.128436,41.296437
56,1,-1,1,1,1,2300000,25,1800000,24,536870912 4407743741952,1838.313995,1800.116182,1234.837038,1216.218077,299.716505,209.562409,39.772789
57,1,1,-1,1,-1,2300000,25,1800000,24,4399120252928 9160359936,1798.944581,1753.258862,1192.876329,1166.929673,300.703595,210.286544,39.939510
58,-1,-1,-1,-1,-1,2300000,25,1800000,24,4408280612864 0,1548.149384,1524.587505,938.613300,933.874327,287.574738,202.835783,40.429806
59,-1,1,1,-1,1,2300000,25,1800000,24,8623489024 4399657123840,1734.967561,1699.577927,1145.281966,1129.534225,293.684936,206.213807,38.857754
