,B,C,E,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
297,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,60.501968,57.33606,42.616806,39.668045,7.329971,6.532333,1.212526
298,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,87.467239,80.35321,56.147522,49.507477,9.810303,8.919342,2.160743
299,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,56.685547,54.999466,40.108597,38.572098,6.83252,6.363998,1.123107
300,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,52.949829,51.733612,29.562698,28.725479,8.996262,7.250076,1.59858
301,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,61.262756,57.440125,43.520737,39.861801,7.349213,6.802094,1.202632
302,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,50.982117,49.836823,28.497665,27.578079,8.474396,7.437714,1.539579
303,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.979355,49.944061,28.666138,28.148315,9.213608,6.54425,1.517207
304,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,49.938278,50.021011,28.05278,28.330688,8.126602,7.577911,1.498828
305,-1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,127 0,51.034958,50.006775,28.517136,27.819901,8.589111,7.18512,1.538996
306,1,-1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,20 2,50.673752,49.493942,28.341797,27.720337,9.278305,6.355927,1.51866
307,-1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,6 16,59.376312,55.782623,42.193665,38.856674,7.279251,6.238907,1.16208
308,-1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,18 4,52.058548,50.837357,29.173294,28.493881,9.474319,6.575912,1.557695
309,1,-1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,4 18,57.430191,54.21788,40.786209,37.611588,6.5177,6.673431,1.132289
310,-1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,2 20,59.931122,56.115494,42.615128,39.040222,7.247238,6.305435,1.171928
311,1,1,-1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,16 6,50.897064,49.818817,28.613876,27.939194,8.764008,6.890213,1.519575
312,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,60.248184,56.565781,42.618515,39.17952,7.511292,6.383652,1.193937
313,1,1,1,2300000,bfs-randLocalGraph_-j_-d_3_-m_50000000_10000000,1500000,24,0 127,59.493866,56.075668,42.311249,39.149719,7.254608,6.271454,1.162219
