,D,F,K,T,Y,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
430,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1960.370941,1721.754684,1294.609177,1074.744171,302.102646,226.639191,44.040348
431,1,-1,1,1,-1,2300000,nx=200,1500000,24,16777248 525320,1583.562790,1817.162674,838.786346,1091.993652,314.438263,240.994110,49.571796
432,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1506.904419,1715.942047,852.678024,1074.842712,285.456802,236.974426,43.431652
433,-1,1,1,1,-1,2300000,nx=200,1500000,24,16777224 525344,2249.199570,2292.872925,1391.018982,1480.896072,402.648163,208.036194,56.551449
434,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1955.918320,1768.338974,1284.441727,1116.891663,303.629364,226.225876,44.367580
435,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2039.793076,1929.012543,1278.255844,1193.789185,335.194229,231.203903,50.477093
436,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1564.567627,1741.234268,893.725220,1085.445221,292.925842,235.521271,44.523159
437,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1942.209045,1722.693863,1274.194199,1071.621811,296.994553,229.896912,44.250317
438,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1970.820953,1681.329285,1309.794037,1039.659683,299.368637,226.921982,43.639530
439,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1525.431686,1750.999008,864.198807,1105.009216,293.627838,236.417099,43.816383
440,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2084.143127,1965.259247,1300.035568,1209.409744,343.880096,232.839691,51.988937
441,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1519.582092,1761.104492,858.176651,1116.263535,299.545654,231.493637,43.785614
442,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,2169.354080,1997.531082,1424.075745,1265.672729,302.933502,259.148819,49.792583
443,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1632.920853,1983.082962,844.475006,1220.050369,338.497589,241.085052,52.390476
444,1,-1,1,1,1,2300000,nx=200,1500000,24,32 17302536,1557.464539,1724.982605,892.157501,1075.086472,294.652206,237.030533,44.098824
445,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1697.567245,2171.917969,874.587372,1380.787354,364.580521,234.249893,54.606209
446,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1600.429153,1952.775009,822.761047,1196.977844,331.077133,241.526947,51.841976
447,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,1964.264359,1847.002960,1227.177704,1128.046387,315.354858,239.778275,49.119488
448,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,1992.753250,1875.877274,1252.099670,1153.442093,314.267563,244.049484,49.318886
449,-1,1,-1,1,1,2300000,nx=200,1500000,24,1032 17301536,1917.205444,1763.368103,1265.651077,1129.831390,298.852615,230.063324,42.998833
450,1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301536 1032,1576.448074,1899.255432,809.241943,1151.334595,322.103302,243.665100,51.150852
451,1,1,-1,-1,1,2300000,nx=200,1500000,24,525312 16777256,1919.445877,1696.316086,1274.245239,1065.341064,287.863602,235.123093,42.741211
452,1,1,-1,1,-1,2300000,nx=200,1500000,24,16778240 524328,2117.605759,1940.397324,1343.597336,1194.421722,340.437973,230.474823,51.304001
453,-1,-1,-1,-1,1,2300000,nx=200,1500000,24,525352 16777216,1531.666321,1767.675583,850.492783,1101.301208,293.586670,242.057465,45.244305
454,1,-1,-1,-1,-1,2300000,nx=200,1500000,24,17302560 8,1618.271194,1941.663055,836.343964,1182.335159,327.906662,242.027618,52.096268
455,-1,1,-1,1,-1,2300000,nx=200,1500000,24,16778248 524320,2059.355087,1884.186615,1289.179047,1138.094788,330.052963,231.000336,51.221096
456,-1,-1,-1,1,1,2300000,nx=200,1500000,24,1064 17301504,1570.120636,1754.826294,879.836563,1081.632980,301.765900,236.448944,45.821461
457,-1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302536 32,2004.886459,1918.582306,1240.610184,1176.620697,327.061905,238.551590,50.858341
458,1,-1,-1,1,1,2300000,nx=200,1500000,24,1056 17301512,1528.987671,1696.963089,876.423187,1059.500336,290.580475,233.201035,43.223228
459,-1,-1,-1,-1,-1,2300000,nx=200,1500000,24,33554431 0,1592.104752,1906.702148,810.228546,1144.576645,324.070908,245.118851,52.247105
460,-1,-1,1,-1,-1,2300000,nx=200,1500000,24,17301544 1024,1635.422791,2067.842072,830.272934,1291.049942,354.108154,232.007980,53.560715
461,-1,1,-1,-1,1,2300000,nx=200,1500000,24,525320 16777248,1876.717087,1732.586441,1230.045013,1099.234161,285.740005,235.612823,42.894043
462,-1,-1,1,1,-1,2300000,nx=200,1500000,24,16777256 525312,1632.628082,1944.468597,848.422348,1184.345032,335.659531,239.642990,52.199776
463,1,1,1,-1,1,2300000,nx=200,1500000,24,524288 16778280,1890.267090,1716.994720,1249.447205,1089.093811,283.754166,236.302612,42.493019
464,-1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778280 524288,1650.336472,2045.318863,854.958755,1277.662689,346.695816,234.919189,52.832981
465,1,-1,-1,-1,1,2300000,nx=200,1500000,24,525344 16777224,1534.863174,1744.372589,866.980286,1090.933578,291.210068,236.040695,44.347969
466,-1,1,1,1,1,2300000,nx=200,1500000,24,8 17302560,1947.153259,1747.348022,1288.221909,1105.579559,296.445312,228.909180,43.615490
467,-1,-1,1,1,1,2300000,nx=200,1500000,24,40 17302528,1538.781311,1747.760071,866.533447,1094.067856,302.553543,230.652435,44.490646
468,1,1,1,1,-1,2300000,nx=200,1500000,24,16777216 525352,2035.398270,1965.664932,1278.200089,1233.666245,332.832535,235.806335,50.234890
469,1,-1,1,-1,1,2300000,nx=200,1500000,24,524320 16778248,1540.310562,1785.960205,866.873489,1129.886353,299.917862,237.022522,44.599319
470,-1,1,1,-1,1,2300000,nx=200,1500000,24,524296 16778272,1907.557999,1751.387741,1251.983353,1110.621170,291.390656,235.514877,43.442074
471,1,1,1,-1,-1,2300000,nx=200,1500000,24,17301504 1064,1933.463852,1853.846191,1207.309509,1143.760071,304.025726,243.978073,48.376724
472,1,-1,-1,1,-1,2300000,nx=200,1500000,24,16778272 524296,1596.693665,1869.465927,842.134552,1132.707642,309.837692,245.816452,50.334801
473,1,1,1,1,1,2300000,nx=200,1500000,24,0 33554431,1938.667084,1719.909286,1294.257156,1093.182037,292.256729,227.284424,42.543621
474,1,1,-1,1,1,2300000,nx=200,1500000,24,1024 17301544,1926.643753,1683.596558,1289.567154,1062.696945,288.461838,229.302628,42.071396
475,-1,-1,1,-1,1,2300000,nx=200,1500000,24,524328 16778240,1525.198776,1779.135773,854.302994,1124.738556,295.083374,235.410950,44.455147
476,1,1,-1,-1,-1,2300000,nx=200,1500000,24,17302528 40,2303.726395,2275.501144,1430.478973,1433.569504,362.391724,253.683411,58.149796
477,-1,1,1,-1,-1,2300000,nx=200,1500000,24,17301512 1056,2039.207718,1977.972610,1264.198730,1229.300888,334.916489,235.056488,51.439541
